Date,Open,High,Low,Close,Volume,Adjusted Close
2/15/2017,3215.464111,3235.998047,3206.561035,3212.986084,241500,3212.986084
2/14/2017,3216.136963,3219.405029,3205.284912,3217.927979,188800,3217.927979
2/13/2017,3198.995117,3219.406982,3198.995117,3216.839111,220200,3216.839111
2/10/2017,3183.00708,3205.049072,3182.802002,3196.698975,239300,3196.698975
2/9/2017,3164.687988,3186.837891,3162.573975,3183.178955,191600,3183.178955
2/8/2017,3148.085938,3167.447021,3132.032959,3166.981934,144900,3166.981934
2/7/2017,3154.405029,3159.543945,3140.035889,3153.087891,128300,3153.087891
2/6/2017,3143.093018,3158.843018,3135.386963,3156.983887,127200,3156.983887
2/3/2017,3160.082031,3162.677002,3136.012939,3140.169922,92200,3140.169922
1/26/2017,3149.217041,3163.104004,3148.907959,3159.166016,113900,3159.166016
1/25/2017,3137.645996,3151.471924,3133.190918,3149.554932,112100,3149.554932
1/24/2017,3134.592041,3149.531006,3131.218018,3142.552979,126000,3142.552979
1/23/2017,3125.420898,3145.841064,3125.420898,3136.774902,132700,3136.774902
1/20/2017,3095.819092,3125.659912,3095.215088,3123.138916,122400,3123.138916
1/19/2017,3104.971924,3115.778076,3094.006104,3101.299072,123900,3101.299072
1/18/2017,3104.766113,3123.719971,3098.585938,3113.011963,131800,3113.011963
1/17/2017,3087.030029,3108.906982,3072.337891,3108.774902,136200,3108.774902
1/16/2017,3104.491943,3105.14209,3044.291016,3103.427979,257900,3103.427979
1/13/2017,3116.083008,3130.514893,3102.163086,3112.763916,156300,3112.763916
1/12/2017,3133.602051,3144.969971,3115.979004,3119.289062,148900,3119.289062
1/11/2017,3156.686035,3167.029053,3136.26709,3136.753906,178400,3136.753906
1/10/2017,3167.570068,3174.577881,3157.332031,3161.670898,179800,3161.670898
1/9/2017,3148.531982,3173.135986,3147.735107,3171.236084,171700,3171.236084
1/6/2017,3163.775879,3172.034912,3153.024902,3154.321045,183700,3154.321045
1/5/2017,3157.906006,3168.501953,3154.281006,3165.410889,174700,3165.410889
1/4/2017,3133.787109,3160.103027,3130.11499,3158.793945,167900,3158.793945
1/3/2017,3105.309082,3136.456055,3105.309082,3135.920898,141600,3135.920898
12/30/2016,3097.344971,3108.839111,3089.989014,3103.636963,133300,3103.636963
12/29/2016,3095.844971,3111.799072,3087.343994,3096.096924,132600,3096.096924
12/28/2016,3113.76709,3118.781982,3094.549072,3102.236084,135700,3102.236084
12/27/2016,3117.386963,3127.883057,3113.745117,3114.664062,141500,3114.664062
12/26/2016,3095.579102,3122.881104,3068.415039,3122.569092,0,3122.569092
12/23/2016,3134.928955,3138.404053,3103.748047,3110.154053,166200,3110.154053
12/22/2016,3132.156006,3143.168945,3126.886963,3139.558105,167800,3139.558105
12/21/2016,3107.23999,3140.250977,3107.23999,3137.429932,186700,3137.429932
12/20/2016,3115.897949,3117.014893,3084.800049,3102.875977,157400,3102.875977
12/19/2016,3120.696045,3125.283936,3110.082031,3118.084961,154200,3118.084961
12/16/2016,3111.514893,3128.874023,3106.345947,3122.981934,165000,3122.981934
12/15/2016,3125.75708,3138.779053,3100.913086,3117.677002,190000,3117.677002
12/14/2016,3149.376953,3170.020996,3136.3479,3140.531006,201400,3140.531006
12/13/2016,3138.988037,3162.496094,3118.711914,3155.037109,185200,3155.037109
12/12/2016,3233.666016,3245.094971,3149.895996,3152.969971,274700,3152.969971
12/9/2016,3209.340088,3244.801025,3207.042969,3232.883057,204000,3232.883057
12/8/2016,3225.550049,3228.12207,3211.470947,3215.365967,170700,3215.365967
12/7/2016,3198.475098,3222.427979,3189.485107,3222.241943,169100,3222.241943
12/6/2016,3202.029053,3215.311035,3196.524902,3199.646973,157600,3199.646973
12/5/2016,3203.783936,3219.518066,3194.878906,3204.708984,223000,3204.708984
12/2/2016,3270.121094,3279.714111,3235.2771,3243.843018,259600,3243.843018
12/1/2016,3257.0271,3279.670898,3256.256104,3273.309082,237800,3273.309082
11/30/2016,3272.14209,3277.269043,3239.520996,3250.033936,243600,3250.033936
11/29/2016,3269.233887,3301.212891,3263.396973,3282.924072,320800,3282.924072
11/28/2016,3270.047119,3288.336914,3267.674072,3277,281600,3277
11/25/2016,3241.24292,3262.437988,3209.5979,3261.937988,233900,3261.937988
11/24/2016,3237.427979,3257.856934,3232.868896,3241.736084,232300,3241.736084
11/23/2016,3247.945068,3262.878906,3231.585938,3241.136963,250000,3241.136963
11/22/2016,3220.98291,3249.677002,3220.98291,3248.352051,261600,3248.352051
11/21/2016,3188.496094,3229.75708,3188.280029,3218.147949,230700,3218.147949
11/18/2016,3207.193115,3212.394043,3187.496094,3192.855957,209800,3192.855957
11/17/2016,3198.499023,3211.052979,3187.206055,3208.452881,214200,3208.452881
11/16/2016,3208.49707,3210.893066,3195.410889,3205.056885,221800,3205.056885
11/15/2016,3209.955078,3214.291992,3195.034912,3206.986084,240900,3206.986084
11/14/2016,3187.708984,3221.458008,3186.795898,3210.371094,329600,3210.371094
11/11/2016,3169.400879,3202.73999,3166.070068,3196.043945,310900,3196.043945
11/10/2016,3148.543945,3172.309082,3148.543945,3171.281982,244200,3171.281982
11/9/2016,3146.077881,3146.949951,3096.947021,3128.370117,241100,3128.370117
11/8/2016,3140.944092,3156.881104,3134.955078,3147.887939,190800,3147.887939
11/7/2016,3124.89209,3139.201904,3117.095947,3133.333008,179400,3133.333008
11/4/2016,3126.349121,3141.333984,3119.534912,3125.316895,197700,3125.316895
