 LN(EARNINGS/WK)   EDUC (YEARS)     EXP(YEARS)         AGE              FED             MED            KWW             IQ              WHITE
  5.7287093e+000  1.2000000e+001  1.3000000e+001  3.1000000e+001  8.0000000e+000  8.0000000e+000  3.5000000e+001  9.3000000e+001  1.0000000e+000
  6.0008528e+000  1.8000000e+001  1.3000000e+001  3.7000000e+001  1.4000000e+001  1.4000000e+001  4.1000000e+001  1.1900000e+002  1.0000000e+000
  5.7987093e+000  1.4000000e+001  1.3000000e+001  3.3000000e+001  1.4000000e+001  1.4000000e+001  4.6000000e+001  1.0800000e+002  1.0000000e+000
  5.5607093e+000  1.2000000e+001  1.4000000e+001  3.2000000e+001  1.2000000e+001  1.2000000e+001  3.2000000e+001  9.6000000e+001  1.0000000e+000
  5.4157093e+000  1.1000000e+001  1.7000000e+001  3.4000000e+001  1.1000000e+001  6.0000000e+000  2.7000000e+001  7.4000000e+001  1.0000000e+000
  6.3277093e+000  1.6000000e+001  1.3000000e+001  3.5000000e+001  0.0000000e+000  8.0000000e+000  4.3000000e+001  1.1600000e+002  0.0000000e+000
  5.4807093e+000  1.0000000e+001  1.4000000e+001  3.0000000e+001  8.0000000e+000  8.0000000e+000  2.4000000e+001  9.1000000e+001  1.0000000e+000
  6.0697093e+000  1.8000000e+001  1.4000000e+001  3.8000000e+001  0.0000000e+000  8.0000000e+000  5.0000000e+001  1.1400000e+002  1.0000000e+000
  6.2524923e+000  1.5000000e+001  1.5000000e+001  3.6000000e+001  5.0000000e+000  1.4000000e+001  3.7000000e+001  1.1100000e+002  1.0000000e+000
  5.9917093e+000  1.2000000e+001  1.8000000e+001  3.6000000e+001  1.1000000e+001  1.2000000e+001  4.4000000e+001  9.5000000e+001  1.0000000e+000
  5.9910299e+000  1.8000000e+001  1.4000000e+001  3.8000000e+001  1.4000000e+001  1.3000000e+001  4.4000000e+001  1.3200000e+002  1.0000000e+000
  5.8584160e+000  1.4000000e+001  1.3000000e+001  3.3000000e+001  0.0000000e+000  1.6000000e+001  4.5000000e+001  1.0200000e+002  1.0000000e+000
  6.0034923e+000  1.5000000e+001  9.0000000e+000  3.0000000e+001  1.2000000e+001  1.2000000e+001  4.0000000e+001  1.2500000e+002  1.0000000e+000
  6.2164160e+000  1.6000000e+001  6.0000000e+000  2.8000000e+001  1.0000000e+001  1.0000000e+001  2.4000000e+001  1.1900000e+002  1.0000000e+000
  6.5747093e+000  1.6000000e+001  1.2000000e+001  3.4000000e+001  1.2000000e+001  1.2000000e+001  4.7000000e+001  1.1800000e+002  1.0000000e+000
  6.1718528e+000  1.0000000e+001  1.9000000e+001  3.5000000e+001  8.0000000e+000  6.0000000e+000  3.7000000e+001  1.0500000e+002  1.0000000e+000
  6.4164923e+000  1.5000000e+001  1.5000000e+001  3.6000000e+001  1.0000000e+001  1.2000000e+001  3.9000000e+001  1.0900000e+002  1.0000000e+000
